               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.017394,           0.0036847,           0.0062664,              0.9343,             0.88447,             0.94501,             0.76402,            0.017038,           0.0030552,           0.0092898,          0.00052519,          0.00052519,          0.00052519
                  72,            0.017485,           0.0036085,           0.0056562,             0.92437,              0.8977,             0.94989,             0.76677,            0.017774,           0.0030817,           0.0085656,          0.00049395,          0.00049395,          0.00049395
                  73,            0.018022,           0.0036962,           0.0061407,             0.94673,              0.8677,             0.95175,             0.77598,            0.018042,           0.0030469,           0.0083485,          0.00046345,          0.00046345,          0.00046345
                  74,            0.016997,           0.0036092,           0.0052956,              0.9204,             0.90992,             0.95338,             0.78023,            0.016911,           0.0030236,            0.008242,          0.00043374,          0.00043374,          0.00043374
                  75,            0.016632,            0.003535,           0.0051143,             0.93063,             0.89876,             0.95514,             0.78172,            0.016593,           0.0029972,           0.0082016,          0.00040484,          0.00040484,          0.00040484
                  76,            0.017292,           0.0036133,            0.005119,             0.93436,             0.90746,             0.95401,             0.78043,            0.017438,           0.0030263,           0.0080651,          0.00037679,          0.00037679,          0.00037679
                  77,            0.016346,           0.0034518,           0.0053761,             0.95489,             0.88358,             0.95667,             0.78421,            0.016496,           0.0029914,           0.0082035,           0.0003496,           0.0003496,           0.0003496
                  78,            0.016656,           0.0036339,           0.0053566,             0.94231,             0.89881,             0.95643,             0.78547,            0.016716,           0.0029911,            0.008192,           0.0003233,           0.0003233,           0.0003233
                  79,            0.015996,           0.0034514,           0.0047778,             0.95757,             0.88286,             0.95701,             0.78928,            0.016303,           0.0029597,           0.0081562,          0.00029792,          0.00029792,          0.00029792
                  80,            0.015777,           0.0035604,           0.0045062,             0.94099,               0.899,             0.95948,             0.78813,            0.016122,           0.0029551,           0.0081314,          0.00027349,          0.00027349,          0.00027349
                  81,            0.015805,           0.0034958,           0.0047066,             0.96371,             0.87896,              0.9593,             0.79284,            0.016087,           0.0029576,           0.0077516,          0.00025004,          0.00025004,          0.00025004
                  82,            0.015278,           0.0034578,           0.0043042,             0.94379,               0.895,             0.95989,             0.79395,            0.016061,           0.0029438,            0.007782,          0.00022757,          0.00022757,          0.00022757
                  83,            0.015505,           0.0034111,           0.0044332,             0.93642,             0.90693,             0.96111,             0.79217,            0.016201,           0.0029117,           0.0077039,          0.00020612,          0.00020612,          0.00020612
                  84,            0.014746,           0.0033099,           0.0037426,             0.93831,             0.90067,             0.95863,             0.79128,            0.016055,           0.0029264,           0.0081379,           0.0001857,           0.0001857,           0.0001857
                  85,              0.0152,            0.003341,           0.0040147,              0.9507,             0.89382,             0.95982,             0.79631,            0.016135,           0.0029231,           0.0078839,          0.00016634,          0.00016634,          0.00016634
                  86,            0.014791,           0.0033217,           0.0041173,             0.95237,             0.88665,             0.95753,             0.79363,            0.015741,           0.0029115,           0.0080482,          0.00014806,          0.00014806,          0.00014806
                  87,            0.014624,           0.0033452,            0.004107,             0.95881,             0.88893,             0.95908,             0.79427,            0.015802,           0.0029192,           0.0079672,          0.00013087,          0.00013087,          0.00013087
                  88,            0.014687,           0.0033406,           0.0038987,             0.95628,             0.88674,             0.95971,             0.79857,            0.015881,           0.0029018,           0.0079906,          0.00011479,          0.00011479,          0.00011479
                  89,            0.014849,           0.0034406,            0.004269,             0.95215,             0.89848,             0.96167,             0.80137,            0.015673,           0.0028953,           0.0076663,           9.984e-05,           9.984e-05,           9.984e-05
                  90,            0.014565,           0.0033629,           0.0039543,              0.9576,              0.8964,             0.96197,             0.79605,              0.0158,           0.0029018,           0.0075447,           8.603e-05,           8.603e-05,           8.603e-05
                  91,             0.01438,           0.0033243,           0.0040845,             0.95028,             0.90246,             0.96147,             0.80137,            0.015624,            0.002885,           0.0074471,          7.3373e-05,          7.3373e-05,          7.3373e-05
                  92,            0.014185,           0.0031989,           0.0036592,             0.95687,             0.89207,             0.96118,             0.80014,             0.01561,            0.002886,           0.0074475,          6.1885e-05,          6.1885e-05,          6.1885e-05
                  93,            0.014495,           0.0033225,           0.0039124,             0.94966,             0.89807,             0.95986,              0.8008,            0.015609,           0.0028841,           0.0073392,          5.1575e-05,          5.1575e-05,          5.1575e-05
                  94,            0.014177,           0.0032846,           0.0037939,             0.95114,             0.89977,             0.96101,             0.80201,            0.015526,           0.0028821,            0.007433,          4.2454e-05,          4.2454e-05,          4.2454e-05
                  95,            0.013836,           0.0032386,           0.0036237,             0.94877,             0.90435,             0.96166,             0.80155,            0.015534,           0.0028819,           0.0073141,           3.453e-05,           3.453e-05,           3.453e-05
                  96,            0.014243,           0.0033429,           0.0037219,             0.95439,             0.90253,             0.96102,             0.80439,            0.015502,           0.0028814,           0.0073183,          2.7813e-05,          2.7813e-05,          2.7813e-05
                  97,            0.013807,           0.0032106,           0.0035894,             0.95123,              0.9068,             0.96158,             0.80427,            0.015452,           0.0028776,           0.0073662,          2.2307e-05,          2.2307e-05,          2.2307e-05
                  98,            0.013941,           0.0032013,           0.0034106,             0.94963,             0.90555,             0.96167,             0.80501,            0.015454,           0.0028778,           0.0072942,           1.802e-05,           1.802e-05,           1.802e-05
                  99,            0.013613,           0.0031906,           0.0036216,              0.9496,             0.90458,             0.96136,             0.80428,            0.015421,           0.0028758,           0.0072816,          1.4954e-05,          1.4954e-05,          1.4954e-05
