               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.027609,           0.0053578,            0.031833,             0.56829,             0.60057,             0.62824,             0.43049,             0.02797,           0.0045256,            0.036784,           0.0006916,           0.0006916,           0.0006916
                  67,            0.026152,           0.0053064,             0.03147,             0.54929,             0.71819,             0.68507,             0.46318,             0.02716,           0.0044778,            0.035158,          0.00065707,          0.00065707,          0.00065707
                  68,            0.026385,           0.0050618,            0.029789,             0.59078,             0.68405,             0.66397,              0.4581,            0.026863,           0.0044727,            0.035036,          0.00062313,          0.00062313,          0.00062313
                  69,            0.026015,           0.0050739,            0.028246,             0.63333,             0.63357,             0.68428,             0.48397,            0.027096,           0.0043929,            0.033435,          0.00058982,          0.00058982,          0.00058982
                  70,            0.025862,           0.0049825,            0.028033,             0.67526,             0.61933,             0.69834,             0.50133,            0.026715,           0.0044271,            0.032394,          0.00055716,          0.00055716,          0.00055716
                  71,            0.026526,           0.0047877,             0.02778,             0.63026,              0.6521,               0.688,             0.46511,            0.027974,           0.0043886,            0.031615,          0.00052519,          0.00052519,          0.00052519
                  72,            0.025937,           0.0050138,            0.027033,             0.58756,             0.73041,             0.70865,             0.51309,            0.026178,           0.0043307,            0.031404,          0.00049395,          0.00049395,          0.00049395
                  73,             0.02453,           0.0050784,            0.026157,              0.6934,             0.65413,             0.70911,             0.51086,              0.0252,           0.0043784,            0.031587,          0.00046345,          0.00046345,          0.00046345
                  74,            0.023797,           0.0047181,             0.02638,             0.73717,             0.62874,             0.73161,             0.53231,            0.025272,           0.0043179,            0.029824,          0.00043374,          0.00043374,          0.00043374
                  75,            0.023963,           0.0048769,             0.02565,              0.6502,             0.73543,             0.73378,             0.54141,            0.025337,           0.0043024,            0.030108,          0.00040484,          0.00040484,          0.00040484
                  76,            0.023762,           0.0048601,            0.024955,             0.64709,             0.73141,             0.74047,             0.53387,            0.025367,           0.0042875,            0.029036,          0.00037679,          0.00037679,          0.00037679
                  77,            0.024183,           0.0046771,            0.023843,             0.66589,             0.68432,             0.72042,             0.51094,            0.026386,           0.0043446,            0.029265,           0.0003496,           0.0003496,           0.0003496
                  78,            0.024436,           0.0048225,            0.024569,             0.75033,             0.65392,             0.74033,             0.55217,            0.025374,           0.0043174,            0.028249,           0.0003233,           0.0003233,           0.0003233
                  79,            0.022758,           0.0045875,            0.023197,             0.67751,             0.73767,             0.74225,             0.54634,            0.025375,           0.0042604,             0.02907,          0.00029792,          0.00029792,          0.00029792
                  80,            0.022696,           0.0047049,            0.022461,             0.73603,               0.671,             0.74695,             0.54271,            0.024673,           0.0042126,             0.02865,          0.00027349,          0.00027349,          0.00027349
                  81,            0.021529,           0.0045351,            0.021429,              0.7733,             0.69064,             0.76164,             0.56078,            0.024973,           0.0042221,            0.027527,          0.00025004,          0.00025004,          0.00025004
                  82,            0.022506,           0.0046997,            0.021981,             0.80373,             0.66621,               0.762,             0.57243,            0.024061,           0.0042098,            0.027399,          0.00022757,          0.00022757,          0.00022757
                  83,            0.021157,           0.0044786,            0.022433,             0.70038,             0.69649,             0.74704,             0.56007,            0.023971,           0.0042385,            0.027988,          0.00020612,          0.00020612,          0.00020612
                  84,            0.020636,           0.0044613,            0.021126,             0.69675,             0.72158,             0.75614,              0.5714,            0.023865,           0.0042577,             0.02778,           0.0001857,           0.0001857,           0.0001857
                  85,            0.020179,            0.004359,             0.02067,             0.73782,             0.70331,             0.76074,             0.56896,            0.024103,           0.0042865,            0.027185,          0.00016634,          0.00016634,          0.00016634
                  86,            0.020759,           0.0045164,            0.021084,             0.70615,             0.72127,             0.76041,             0.57176,            0.023876,           0.0042805,            0.026997,          0.00014806,          0.00014806,          0.00014806
                  87,            0.020547,           0.0045489,            0.020333,             0.74698,               0.704,              0.7634,             0.58515,            0.023627,           0.0042468,            0.026796,          0.00013087,          0.00013087,          0.00013087
                  88,             0.02019,           0.0045161,            0.019824,               0.747,             0.69504,             0.76458,             0.57584,            0.023608,           0.0042566,            0.026935,          0.00011479,          0.00011479,          0.00011479
                  89,              0.0208,           0.0046466,            0.020269,             0.77341,             0.67627,             0.76522,             0.58291,            0.023395,           0.0042452,             0.02712,           9.984e-05,           9.984e-05,           9.984e-05
                  90,            0.019507,           0.0044606,            0.019481,             0.75613,             0.70323,             0.76469,             0.58385,            0.022852,           0.0042196,            0.026789,           8.603e-05,           8.603e-05,           8.603e-05
                  91,            0.019219,            0.004341,            0.019911,             0.73873,              0.7131,             0.77139,             0.59055,            0.022641,           0.0042091,            0.026503,          7.3373e-05,          7.3373e-05,          7.3373e-05
                  92,            0.019511,           0.0047059,            0.020078,             0.73585,             0.70591,             0.77141,             0.59091,            0.022679,           0.0042147,            0.026357,          6.1885e-05,          6.1885e-05,          6.1885e-05
                  93,            0.019278,           0.0044163,            0.019637,             0.73173,             0.70833,             0.77227,             0.59264,            0.022789,           0.0042294,            0.026403,          5.1575e-05,          5.1575e-05,          5.1575e-05
                  94,            0.019374,           0.0044375,            0.018963,             0.75037,             0.70408,             0.77569,             0.59471,            0.022823,           0.0042307,            0.026286,          4.2454e-05,          4.2454e-05,          4.2454e-05
                  95,            0.018995,           0.0043442,            0.019735,             0.76118,             0.70121,             0.77718,             0.59339,            0.022607,           0.0042138,            0.026202,           3.453e-05,           3.453e-05,           3.453e-05
                  96,            0.018644,           0.0042228,            0.019554,             0.76525,             0.70155,             0.77716,             0.59502,            0.022825,           0.0042228,            0.026126,          2.7813e-05,          2.7813e-05,          2.7813e-05
                  97,            0.019346,           0.0045105,            0.019294,             0.76336,             0.70079,             0.77585,             0.59315,            0.022726,           0.0042153,            0.026151,          2.2307e-05,          2.2307e-05,          2.2307e-05
                  98,            0.019842,           0.0045898,            0.019361,             0.76225,             0.71139,               0.777,             0.59486,            0.022501,           0.0042101,            0.026122,           1.802e-05,           1.802e-05,           1.802e-05
                  99,            0.018881,           0.0043586,             0.01971,             0.76738,             0.70015,             0.77617,             0.59699,            0.022361,           0.0042014,            0.026127,          1.4954e-05,          1.4954e-05,          1.4954e-05
